listing_id,neighborhood,property_type,bedrooms,bathrooms,size_sqm,price_usd,days_on_market,year_built,parking,transit_score,condition_score
L001,Chapinero,Apartment,2,2,68,155000,22,2014,1,91,4
L002,Usaquen,Apartment,3,2,92,240000,31,2018,1,84,5
L003,Centro,Studio,1,1,38,78000,18,2008,0,96,3
L004,Chapinero,Apartment,3,2,104,285000,27,2020,2,89,5
L005,Suba,House,4,3,180,310000,55,2005,2,63,3
L006,Usaquen,House,4,4,210,430000,44,2016,3,76,5
L007,Centro,Apartment,2,1,62,120000,25,2010,0,94,3
L008,Suba,Apartment,3,2,86,165000,39,2012,1,68,4
L009,Chico,Apartment,2,2,74,260000,20,2021,2,88,5
L010,Chico,Apartment,3,3,118,420000,34,2019,2,86,5
L011,Teusaquillo,House,4,3,190,360000,48,1998,2,82,4
L012,Teusaquillo,Apartment,2,2,72,180000,29,2015,1,85,4
L013,Engativa,Apartment,3,2,82,138000,46,2011,1,61,3
L014,Engativa,House,4,2,160,220000,62,2002,2,58,3
L015,Chapinero,Studio,1,1,42,118000,17,2017,0,93,4
L016,Usaquen,Studio,1,1,48,145000,24,2019,1,80,5
L017,Centro,Apartment,3,2,96,190000,36,2009,1,97,3
L018,Chico,House,4,4,240,720000,41,2022,3,83,5
L019,Suba,Studio,1,1,44,83000,33,2013,0,66,3
L020,Teusaquillo,Apartment,3,2,101,255000,37,2016,1,84,4
